,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel ,GenLabel
2225,9330000,2930000,0,0,3.98E-18,0,0.011,1240000,13800,260,548,0,0.0137,0,18700,0.0148,96,0.871,0,0,214,826,0.0772,4,1.88,0,1
2230,269000000,2690000,0,0,4.19E-18,0,0.0128,708000,9190,399,0,0,0.0222,0,17600,0.0242,292,0.819,0,0,0,281,0.412,4,2.2,0,1
2235,249000000,2630000,25400,0.0316,3.45E-18,0,0.0118,781000,9300,224,305,428,0.0121,0.833,18300,0.0229,586,0.888,0.976,0.00281,674,365,0.75,4,5.28,1,1
2240,53000000,2080000,3510,0.00557,3.6E-18,4,0.0116,626000,7350,260,0,4810,0.0155,0,16600,0.0258,20.7,0.896,0.112,0,0,21.8,0.033,4,2.93,0,1
2255,9240000,2430000,3670,0.00428,3.41E-18,3,0.00936,853000,8060,367,430,0,0.0171,0,21000,0.0241,366,0.934,0,0,577,681,0.428,9,1.75,0,1
2260,143000000,2560000,603,0.000638,3.22E-18,3,0.0068,944000,6460,644,668,3050,0.0336,0.606,18500,0.0192,63.3,0.787,0.381,0.000949,1040,644,0.0671,4,2.36,1,1
2265,413000000,2090000,870,0.00111,0,0,0.0114,785000,9030,201,0,3610,0.00878,0,22700,0.0281,161,0.771,0.57,0,736,256,0.205,4,1.94,0,1
2270,328000000,1710000,19700,0.0275,9.83E-06,1,0.00775,696000,5430,346,592,0,0.0184,0,18500,0.0259,176,0.855,0,0,530,676,0.252,4,2.08,0,0
2275,6150000,1820000,5700,0.00884,1.74E-05,2,0.00959,639000,6190,133,649,136,0.00792,0.971,16700,0.0255,96.6,0.856,0.955,0.0148,401,390,0.151,4,2.4,0,0
2280,4920000,1660000,3.36E-10,1E-15,0,0,0.0194,336000,6640,111,437,0,0.00467,0,23700,0.066,0,0.774,0,0.00484,724,320,0,4,1.87,0,0
2285,4700000,1520000,480,0.00169,2.4E-18,2,0.0132,284000,3800,33.8,151,0,0.00196,0,17200,0.0571,246,0.805,0,0.00845,463,58.7,0.865,4,2.99,0,0
2290,5590000,1600000,3330,0.00661,2.01E-18,1,0.00725,502000,3660,316,63.8,1260,0.0163,0.265,19100,0.0366,3.96,0.802,0.0869,0,0,112,0.0079,4,37.8,0,0
2295,69700000,1450000,3.44E-10,7.47E-16,2.15E-18,3,0.0089,460000,4140,329,285,0,0.0175,0,18400,0.0385,0,0.832,0,0,0,311,0,4,3.49,0,0
2300,16000000,1810000,5140,0.0229,2.41E-18,0,0.0173,219000,3850,378,211,0,0.0174,0,21400,0.0889,0,0.595,0,0,51,309,0,4,1.81,0,0
