,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track21,Track 22,Track 23,Track 24,Track 25,SpecLabel,GenLabel
1493.5,2080000,792000,2630,0.0424,4.15E-18,0,0.0237,59400,1440,81.5,75.3,30.9,0.00946,0.831,8530,0.126,114,0.638,0.979,0.00198,170,33,1.91,4,2.1,0,0
1508.8,3600000,773000,0,0,8.25E-05,1,0.0282,98700,2860,235,141,216,0.0033,0.569,70800,0.418,467,0.684,0.964,0.00101,614,116,4.71,4,0.59,0,0
1524,2960000,1190000,3570,0.0651,6.78E-18,0,0.0209,51300,1090,104,117,0,0.0184,0,5570,0.098,174,0.645,0,0.00277,249,0,3.39,4,0,0,0
1539.2,2170000,611000,0,0,7.43E-18,4,0.0279,40500,1160,0,82.7,241,0,0.413,3490,0.0793,146,0.725,0.883,0.00852,201,0,3.59,4,0,0,0
1554.5,4960000,1940000,0,0,3.87E-18,0,0.0215,176000,3870,83.9,306,0,0.0151,0,5470,0.0301,51.6,0.658,0,0.00961,0,68.1,0.292,4,0,0,0
1569.7,2970000,398000,0,0,5E-18,2,0.0318,43500,1430,71,144,527,0.0145,0.359,4830,0.1,106,0.779,0.716,0.00101,0,264,2.44,4,0,0,0
1585,979000,352000,1200,0.0305,1.1E-06,0,0.0305,38100,1200,80.9,72.5,0,0.018,0,4410,0.104,0,0.762,0,0.000917,66.2,16.4,0,4,0,0,0
1600.2,2040000,286000,44,0.00103,0,1,0.0206,42900,901,38.5,146,0,0.0119,0,3190,0.0691,33.6,0.69,0,0.00277,379,27.2,0.783,4,0.867,0,0
1615.4,1490000,331000,1760,0.0458,0,2,0.0262,36700,986,69.8,77.6,106,0.00973,0.6,7110,0.162,68.4,0.63,0.89,0.00489,253,52.7,1.86,4,0.481,0,0
1630.7,1790000,312000,0,0,0,4,0.0248,48200,1230,67.6,106,60.4,0.00872,0.783,7680,0.138,22.4,0.65,0.823,0.00223,0,34.8,0.466,4,0.623,0,0
1645.9,1480000,291000,0,0,0,1,0.0238,43200,1050,47,0,152,0.00516,0,9050,0.173,95.8,0.64,0.888,0.00331,0,0,2.21,4,0.365,0,0
1661.2,1580000,329000,2170,0.037,0,2,0.0176,56600,1010,77.3,159,168,0.0165,0.662,4600,0.0752,33.3,0.596,0.714,0.00265,0,0,0.588,4,0.897,0,0
1676.4,1870000,322000,0,0,0,2,0.0157,69600,1110,72.8,99,218,0.0141,0.484,5090,0.0681,7.33,0.669,0.297,0.000527,5.52,7.93,0.105,4,0.838,0,0
1691.6,2060000,304000,0,0,0,1,0.0145,77200,1130,34,95.9,14.2,0.0744,0.934,423,0.00545,58.8,0.144,0.981,0.0047,0,27.5,0.76,4,0.429,0,0
1706.9,1650000,281000,662,0.0111,0,2,0.0172,58900,1030,57.9,45.6,14.1,0.011,0.87,5220,0.0814,54.1,0.678,0.98,0.00308,270,217,0.917,4,0.593,0,1
1722.1,2030000,283000,0,0,5.24E-18,4,0.0156,68800,1090,69.8,82.4,128,0.0237,0.573,2880,0.0401,26.4,0.73,0.723,0.00139,0,103,0.384,4,0,0,0
1737.4,2080000,277000,2110,0.0305,2.32E-05,4,0.0113,67100,765,34.4,113,0,0.0187,0,1800,0.0262,24.5,0.926,0,0.00056,276,150,0.365,4,0,0,0
1752.6,2440000,277000,7000,0.0576,5.33E-18,3,0.0119,115000,1370,93.1,68.5,0,0.0498,0,1780,0.0153,61.8,0.975,0,0.00403,0,49.1,0.54,4,0,0,0
1767.8,3200000,335000,2630,0.0343,5.59E-18,5,0.015,73900,1130,58.4,154,0,0.0186,0,3080,0.0401,0,0.709,0,0.00484,59.4,0,0,4,0,0,0
1783.1,1750000,309000,0,0,3.45E-18,4,0.0116,78300,918,37.5,87.1,0,0.0137,0,2690,0.0333,51.1,0.67,0,0.00361,0,0,0.652,4,0,0,0
1798.3,1860000,270000,1480,0.0226,3.48E-18,4,0.0134,63900,870,7.67,62.1,0,0.00273,0,2800,0.0419,34.1,0.691,0,0.00171,241,0,0.532,4,0,0,0
1813.6,1990000,285000,0,0,1.21E-18,4,0.0119,58700,705,97.5,0,0,0.0511,0,1810,0.03,50.6,0.678,0,0.00599,71.1,14.8,0.861,4,0,0,0
1828.8,1570000,287000,0,0,4.79E-18,4,0.0137,51200,709,35.1,0,0,0.0171,0,2020,0.0379,31.7,0.838,0,0,129,90.2,0.619,4,0,0,0
1844,2750000,375000,0,0,5.05E-18,2,0.0184,64700,1210,180,52.3,51.5,0.0114,0.681,15600,0.194,25.9,0.641,0.865,0.00136,77.5,145,0.401,4,1.31,0,0
1859.3,2860000,307000,1740,0.0217,4.23E-18,1,0.0162,78300,1290,83.4,67.2,194,0.0122,0.421,6760,0.0795,79.8,0.694,0.84,0.00151,50.2,13.9,1.02,4,0,0,0
1874.5,5210000,344000,25800,0.306,2.68E-05,5,0.0225,58400,1340,107,152,70.2,0.0124,0.82,8550,0.128,14.8,0.662,0.729,0.000936,241,5.51E-13,0.254,4,1.67,0,0
1889.8,2070000,335000,0,0,4.45E-18,3,0.0154,89500,1400,138,143,0,0.00815,0,16900,0.158,123,0.661,0,0.000949,194,4.79,1.37,4,1.95,0,0
1905,1620000,294000,1570,0.0216,4.26E-18,3,0.018,71100,1300,74.5,108,188,0.0128,0.548,5750,0.0749,15.2,0.714,0.508,0.00347,255,34.4,0.214,4,2.96,0,0
1920.2,3660000,383000,0,0,1.04E-18,1,0.0185,95600,1810,233,125,0,0.00616,0,37600,0.282,17.7,0.675,0,0.000497,157,155,0.186,4,1.06,0,0
1935.5,2360000,548000,0,0,9.04E-19,2,0.0193,87300,1720,34.4,167,187,0.00624,0.656,5480,0.0591,31.1,0.664,0.68,0.00536,235,3.54,0.356,4,3.3,0,0
1950.7,1530000,383000,1660,0.0301,4.14E-18,2,0.0182,53700,996,61.1,289,0,0.014,0,4300,0.0741,49,0.655,0,0.00113,14.1,0,0.912,4,0,0,0
1966,2260000,362000,6840,0.0665,0,3,0.0222,96100,2180,114,358,33.9,0.0122,0.958,9210,0.0874,74.3,0.635,0.966,0.000777,185,22.1,0.772,4,1.91,0,0
1981.2,1860000,363000,0,0,1.39E-05,1,0.0202,72500,1500,37.1,115,0,0.00396,0,9330,0.114,133,0.681,0,0,249,0,1.83,4,7.91,0,0
1996.4,2630000,380000,5040,0.0222,2.43E-05,2,0.0142,222000,3200,94.6,38.7,0,0.0112,0,8360,0.0363,41,0.7,0,0.000531,36.9,0,0.185,4,1.43,0,1
2011.7,2300000,327000,0,0,1.07E-18,3,0.0125,215000,2720,90.6,198,179,0.0145,0.703,6180,0.028,90.8,0.69,0.867,0.00467,17.4,75.7,0.423,4,34.7,0,1
2026.9,3160000,351000,3640,0.0178,1.06E-18,1,0.0127,201000,2590,97,131,0,0.0115,0,8340,0.0398,145,0.686,0,0.00307,384,107,0.718,4,6.18,0,1
2042.2,2600000,368000,0,0,1.05E-18,3,0.00735,286000,2120,143,186,128,0.0117,0.758,12100,0.0405,72.4,0.688,0.879,0.00491,279,0,0.253,4,5.64,0,1
2057.4,2690000,362000,81,0.000679,1.16E-18,4,0.0123,119000,1480,45.6,101,0,0.0113,0,4000,0.0325,13.4,0.731,0,0,0,73,0.112,4,0,0,0
2072.6,1790000,328000,1820,0.0199,1.31E-06,1,0.0207,89800,1900,20.9,167,0,0.00421,0,4930,0.052,51.1,0.615,0,0.00143,170,81.2,0.568,4,11.8,0,0
2103.1,2950000,374000,0,0,4.1E-18,3,0.0228,99900,2330,142,88.9,143,0.00957,0.574,14700,0.128,47.5,0.643,0.812,0.00158,366,38.6,0.475,4,3.23,0,0
2118.4,2380000,400000,1130,0.0123,3.53E-18,4,0.0159,91000,1470,29,124,0,0.00647,0,4450,0.0466,0,0.712,0,0.00448,210,31.6,0,4,0,0,0
2133.6,3290000,374000,0,0,3.5E-18,4,0.0152,209000,3230,140,124,233,0.0236,0.536,5810,0.0271,125,0.763,0.874,0.00395,333,96.7,0.597,4,0,0,1
2148.8,3380000,414000,0,0,1.01E-05,3,0.0136,278000,3820,146,145,0,0.00683,0,21200,0.071,68.7,0.652,0,0.00114,190,56.9,0.247,4,0.678,0,1
2164.1,4560000,499000,0,0,1.1E-05,3,0.0101,354000,3610,227,123,36.3,0.0089,0.881,25300,0.0667,95.8,0.666,0.972,0.00219,132,0,0.27,4,2.62,0,1
2179.3,3740000,465000,626,0.00131,5.22E-05,0,0.00984,476000,4730,220,220,0,0.0122,0,17800,0.0359,61.4,0.677,0,0.00291,5.87,0,0.129,4,1.03,1,1
2194.6,3630000,536000,6830,0.0192,3.32E-18,2,0.0108,348000,3800,113,103,112,0.0141,0.667,7910,0.0222,0,0.706,0,0.000687,0,0,0,4,5.18,0,1
2209.8,2570000,366000,0,0,6.12E-05,4,0.0142,220000,3180,112,168,184,0.0179,0.666,6140,0.0271,166,0.633,0.922,0.00257,0,128,0.752,4,2890,0,1
2225,3070000,372000,0,0,9.54E-19,1,0.0106,202000,2160,230,82.1,57,0.0204,0.759,11100,0.0518,61.3,0.6,0.934,0.00465,48,32.7,0.303,4,1.43,0,1
2240.3,3270000,429000,4240,0.0259,3.42E-18,3,0.0157,159000,2540,103,152,207,0.015,0.616,6740,0.0407,174,0.659,0.917,0.00352,97,44.2,1.09,4,4.04,0,0
2255.5,4610000,405000,22400,0.167,3.61E-05,3,0.014,111000,1590,74.5,426,0,0.011,0,6730,0.0569,40.4,0.717,0,0.00509,188,165,0.362,4,5.58,0,0
2270.8,3080000,386000,4620,0.0285,3.86E-18,2,0.0151,157000,2400,163,122,45.1,0.0152,0.856,10500,0.0628,26.1,0.639,0.884,0,13,110,0.166,4,1.67,0,0
2286,2780000,403000,8190,0.0457,3.84E-06,2,0.0127,171000,2210,149,84.3,47.7,0.0121,0.795,12200,0.0665,17.3,0.672,0.827,0.000238,0,16,0.101,4,1.07,0,0
2301.2,2670000,418000,5630,0.0229,9.24E-05,2,0.00775,241000,1880,52.9,108,0,0.00912,0,5750,0.0233,60,0.652,0,0.00183,62.5,20.7,0.249,4,3.6,0,1
2316.5,4180000,544000,350,0.00138,3.53E-18,1,0.0067,253000,1710,117,142,73.2,0.0156,0.81,7400,0.0284,11.1,0.716,0.665,0.00148,0,39.4,0.0437,4,15.4,0,1
2331.7,4280000,421000,1910,0.00377,9.17E-06,4,0.00946,504000,4820,147,150,142,0.0142,0.7,10200,0.0199,109,0.699,0.91,0.00183,204,0,0.217,4,0.986,0,1
2347,3810000,441000,2150,0.00528,4.34E-05,4,0.00743,406000,3040,137,227,0,0.012,0,11300,0.0271,113,0.66,0,0.00276,190,210,0.279,4,4.5,0,1
2362.2,2860000,335000,0,0,3.96E-18,3,0.00957,221000,2130,57.5,184,18.3,0.00985,0.957,5790,0.0256,37.9,0.814,0.965,0.00279,0,0,0.172,4,0,0,1
2377.4,3990000,693000,1280,0.00657,3.12E-18,2,0.012,193000,2330,92.8,171,285,0.00985,0.572,9330,0.0462,111,0.709,0.837,0.00528,277,0,0.573,4,2.24,0,1
2423.2,3460000,528000,0,0,2.64E-18,3,0.0102,270000,2770,232,190,102,0.00859,0.806,26800,0.0903,196,0.68,0.962,0.00137,392,55.7,0.723,4,1.05,0,1
2429.3,2580000,438000,6480,0.0301,2.75E-18,2,0.0116,209000,2460,0,133,138,0,0.683,9150,0.042,67.7,0.664,0.867,0.00196,138,142,0.324,4,1.34,0,1
